,num_pipeline__longitude,num_pipeline__latitude,num_pipeline__housing_median_age,num_pipeline__total_rooms,num_pipeline__total_bedrooms,num_pipeline__population,num_pipeline__households,num_pipeline__median_income,num_pipeline__rooms_per_household,num_pipeline__population_per_household,num_pipeline__bedrooms_per_room,cat_pipeline__<1H OCEAN,cat_pipeline__INLAND,cat_pipeline__ISLAND,cat_pipeline__NEAR BAY,cat_pipeline__NEAR OCEAN
1862,-2.2813647009138966,2.8876185227481908,-0.9273052551049211,0.292907607119651,0.2170015489043043,1.8568852378444687,0.2243031345645943,-0.8305930950020306,0.06049650730503898,0.2552689847549746,-0.34686806494285255,0.0,0.0,0.0,0.0,1.0
18832,-1.6684186707582496,2.8361817725673433,-0.45044749113187704,0.6330040827775519,0.6087560044812835,0.18175284973910583,0.31357102717114094,-0.7936513850170575,0.40200194681889034,-0.03977906476686272,-0.26067971911183724,0.0,1.0,0.0,0.0,0.0
2488,-0.38771029880702035,0.23628785433539098,-1.56311560706898,0.015230997439448533,0.2623877358309055,0.050335559877283435,0.10877997942671046,-1.1350074989038077,-0.19399019121636527,-0.030869596164495285,0.4501239854954525,0.0,1.0,0.0,0.0,0.0
7637,0.6388497191772246,-0.8485599676606751,-0.6094000791228917,0.800986957394005,0.8691293926391539,1.10605445510059,1.0854757455924557,-0.22591563156378627,-0.24639519697477308,-0.013437525176624382,-0.1281231050924727,1.0,0.0,0.0,0.0,0.0
6941,0.7335324392825741,-0.7690668082902729,0.18536286083218173,-0.7677711448984448,-0.7647733367184912,-0.7250264503074687,-0.770771315373087,-0.6028471902013569,-0.29100446892337645,-0.01666828584885539,0.17631911151011356,1.0,0.0,0.0,0.0,0.0
12505,-0.9308901141482033,1.3678963583140467,1.854365034737836,-0.7948503514622992,-0.8889881640965578,-1.024657871192424,-0.875792365498436,-0.5324319819796444,0.005913685688816174,-0.13389900650353057,-0.4979257979246272,0.0,1.0,0.0,0.0,0.0
10614,0.8830314710278518,-0.918700990634558,-1.8810207830510093,-0.06921940947155521,-0.35629765437907995,-0.24491528467894422,-0.26929580102454576,2.3208553135595738,0.3156117172302944,-0.018271937371427995,-0.9096832472506439,1.0,0.0,0.0,0.0,0.0
3841,0.5641002033045892,-0.6755454443250968,-1.4041630190779653,0.11620431005043126,0.9885667266565256,0.6478461711157026,0.7047744388880658,-0.5130940740500994,-0.6442750255016962,-0.024209141490640358,1.817823676800406,1.0,0.0,0.0,0.0,0.0
14814,1.1969794376929361,-1.3722796058656712,0.3443154488231964,0.6637550461636239,0.8595744059177641,0.3306924449158379,0.8754336453417578,0.09531434445063863,-0.20719443333836693,-0.08065670326558114,0.09378992929457511,0.0,0.0,0.0,0.0,1.0
17129,-1.2847044892787016,0.8582049247038246,0.6622206248052258,-0.3643368640572911,-0.37063013446116455,0.18175284973910583,-0.21678527596187128,-0.5612811978854056,-0.39174911399414564,0.07048023541301078,-0.10302477282009342,0.0,0.0,0.0,1.0,0.0
2602,-1.9674167342488054,2.5135330668874762,-0.9273052551049211,-0.49284835283490547,-0.45901376163401963,-0.7968679020985983,-0.7287628953229474,-0.900272621943815,0.615292675224646,-0.0665878392825206,0.10878256634260998,0.0,1.0,0.0,0.0,0.0
6524,0.7634322456316239,-0.7363343309024604,0.10588656683667437,-0.2840171835712821,0.03306805451755184,0.9238224798255297,-0.04087501700191179,-0.3572872886938472,-0.48795228066122043,0.1746040448780114,0.9339258736074747,1.0,0.0,0.0,0.0,0.0
18835,-1.5288862411293218,2.854886045360378,0.3443154488231964,0.002838818164464289,-0.1866966400744121,-0.27470320371429063,-0.043500543255045515,-0.29317792001437754,0.012167428629370002,-0.06869873955794129,-0.6322755843887065,0.0,1.0,0.0,0.0,0.0
10847,0.8282151593879165,-0.918700990634558,0.26483915482768905,0.1928522337142227,0.059344268001373615,0.04245052248557409,0.18229471451445473,0.3127081626694636,-0.02614077584536057,-0.04387259352225333,-0.4717289111973693,1.0,0.0,0.0,0.0,0.0
5425,0.5740668054209391,-0.7550386036954956,0.42379174281870374,-0.1812079925491906,-0.22252784027962363,-0.3973593409186582,-0.22728738097440618,0.5781314587350385,-0.0043904543134259235,-0.06425082223183451,-0.24826587268743036,1.0,0.0,0.0,0.0,0.0
6124,0.8331984604460879,-0.7129539899111672,-0.45044749113187704,0.9813620112854423,1.8604592649833391,2.9529054352920676,1.804869938951096,-0.8937040390873119,-0.5447350401145318,0.08107011513738961,0.9755150492750407,1.0,0.0,0.0,0.0,0.0
7799,0.743499041398924,-0.8111514220746047,1.0596020947827625,-0.3992185538683578,-0.3945176012646389,-0.23790636255298037,-0.34543606236542373,-0.16259449282709676,-0.24497824491633627,0.003234409127569638,-0.051785431133373375,1.0,0.0,0.0,0.0,0.0
3434,0.5690835043627607,-0.6474890351355422,0.5032680368142111,-0.5465477963598372,-0.482901228437494,0.17824838867612391,-0.5082186900597147,-0.4975922185087522,-0.27399938284657854,0.1919151607359742,0.2810883149970574,1.0,0.0,0.0,0.0,0.0
18744,-1.3694206072676869,2.307786066164086,-1.0862578430959358,-0.05223753416879902,-0.21058410687788645,-0.04603711935471966,-0.08550896330518509,-0.2552903340980678,-0.014480832096507421,-0.013700629601737613,-0.5645908141624125,0.0,1.0,0.0,0.0,0.0
12920,-0.8661072003919179,1.4146570402966332,-0.21201860914535503,-0.4744895687238177,-0.6978884296687631,-0.5918569299141554,-0.6106142139319298,0.4575322774896427,0.21694439415933367,-0.024862598539524067,-0.9612258402235863,0.0,1.0,0.0,0.0,0.0
9385,-1.4441701231403294,1.0545997890306993,-0.45044749113187704,3.734261688743053,2.8637328707292617,2.162649465589642,3.107130960505423,1.7987843481247123,0.3682792632162187,-0.06783890703791111,-0.8289752083272156,0.0,0.0,0.0,1.0,0.0
2930,0.2850353440467335,-0.12844546512880411,0.8211732127962406,-0.7994400474900711,-0.7647733367184912,-0.5445467055638993,-0.7944010516512905,-1.3754176314518192,-0.3433121191369973,0.08495148415258706,0.4494320332100612,0.0,1.0,0.0,0.0,0.0
16225,-0.8760738025082679,1.0920083346167697,0.7416969188007332,0.24242095081415965,0.09039797484589027,-0.06618777046686576,0.16129050448938492,-0.1718430574890532,0.0771950677354411,-0.059744007095450774,-0.5058433719147604,0.0,1.0,0.0,0.0,0.0
